what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1550237112026
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1550237112045
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1550237112059
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.ui",1550237114355
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.gnu.ui",1550237114452
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1550237114567
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1550237145087
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1550237145426
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1550237145893
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1550237146196
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1550237150324
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1550237183760
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1550237183767
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1550237189200
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1550237189276
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1550237189279
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1550237192373
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1550237210913
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1550237210920
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1550237210920
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1550237218813
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1550237231828
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1550237232822
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1550237246720
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1550237246998
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1550237248220
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1550237250898
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1550237250912
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1550237254042
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1550237257350
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1550237257356
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1550237258686
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1550237258720
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1550237258734
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1550237258755
started,bundle,org.eclipse.cdt.launch,6.1.0.201102110609,"org.eclipse.cdt.launch",1550237258771
started,bundle,org.eclipse.cdt.dsf,2.1.1.201102110609,"org.eclipse.cdt.dsf",1550237259053
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1550237259055
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1550237259056
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1550237272628
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1550237273971
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1550237274037
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1550237274212
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1550237274212
